Iter  Part  GoF  Model_Output  
3  37   2.6327700E+01   2.6327700E+01  
3  38   1.5635562E+02   1.5635562E+02  
3  39   1.5635562E+02   1.5635562E+02  
3  40   1.5635562E+02   1.5635562E+02  
4  1   1.5635562E+02   1.5635562E+02  
4  2   1.5635562E+02   1.5635562E+02  
4  3   1.5635562E+02   1.5635562E+02  
4  4   1.5635562E+02   1.5635562E+02  
4  5   1.7442612E+01   1.7442612E+01  
4  6   1.1019485E+01   1.1019485E+01  
4  7   1.5635562E+02   1.5635562E+02  
4  8   1.5635562E+02   1.5635562E+02  
4  9   1.5635562E+02   1.5635562E+02  
4  10   1.5635562E+02   1.5635562E+02  
4  11   3.4056431E+01   3.4056431E+01  
4  12   1.5635562E+02   1.5635562E+02  
4  13   1.5635562E+02   1.5635562E+02  
4  14   1.5042261E+01   1.5042261E+01  
4  15   1.5635562E+02   1.5635562E+02  
4  16   1.5635562E+02   1.5635562E+02  
4  17   1.5768602E+01   1.5768602E+01  
4  18   2.7389475E+01   2.7389475E+01  
4  19   5.6761531E+01   5.6761531E+01  
4  20   1.9875450E+01   1.9875450E+01  
4  21   1.5635562E+02   1.5635562E+02  
4  22   1.5635562E+02   1.5635562E+02  
4  23   2.0616327E+01   2.0616327E+01  
4  24   1.5635562E+02   1.5635562E+02  
4  25   1.5635562E+02   1.5635562E+02  
4  26   1.5635562E+02   1.5635562E+02  
4  27   6.5086285E+01   6.5086285E+01  
4  28   1.5635562E+02   1.5635562E+02  
4  29   1.5635562E+02   1.5635562E+02  
4  30   1.5635562E+02   1.5635562E+02  
4  31   1.5635562E+02   1.5635562E+02  
4  32   5.1202524E+01   5.1202524E+01  
4  33   4.8309181E+01   4.8309181E+01  
4  34   5.4664255E+01   5.4664255E+01  
4  35   8.7259130E+00   8.7259130E+00  
4  36   1.5635562E+02   1.5635562E+02  
4  37   2.7737888E+01   2.7737888E+01  
4  38   1.5635562E+02   1.5635562E+02  
4  39   1.5635562E+02   1.5635562E+02  
4  40   1.5635562E+02   1.5635562E+02  
5  1   1.5635562E+02   1.5635562E+02  
5  2   1.5635562E+02   1.5635562E+02  
5  3   1.4556663E+02   1.4556663E+02  
5  4   1.5635562E+02   1.5635562E+02  
5  5   1.7952578E+01   1.7952578E+01  
5  6   4.5658275E+00   4.5658275E+00  
5  7   1.5635562E+02   1.5635562E+02  
5  8   1.5635562E+02   1.5635562E+02  
5  9   1.5635562E+02   1.5635562E+02  
5  10   1.5635562E+02   1.5635562E+02  
5  11   1.5635562E+02   1.5635562E+02  
5  12   1.5635562E+02   1.5635562E+02  
5  13   1.5635562E+02   1.5635562E+02  
5  14   6.2070394E+00   6.2070394E+00  
5  15   2.6951762E+00   2.6951762E+00  
5  16   1.5635562E+02   1.5635562E+02  
5  17   1.6707606E+01   1.6707606E+01  
5  18   1.1209780E+01   1.1209780E+01  
5  19   2.0340376E+03   2.0340376E+03  
5  20   5.7673203E+00   5.7673203E+00  
5  21   1.5635562E+02   1.5635562E+02  
5  22   1.5635562E+02   1.5635562E+02  
5  23   1.5635562E+02   1.5635562E+02  
5  24   1.5635562E+02   1.5635562E+02  
5  25   1.5635562E+02   1.5635562E+02  
5  26   1.5635562E+02   1.5635562E+02  
5  27   1.5635562E+02   1.5635562E+02  
5  28   1.5635562E+02   1.5635562E+02  
5  29   1.5635562E+02   1.5635562E+02  
5  30   9.8320213E+00   9.8320213E+00  
5  31   1.5635562E+02   1.5635562E+02  
5  32   1.5635562E+02   1.5635562E+02  
5  33   4.0108838E+01   4.0108838E+01  
5  34   5.6975465E+01   5.6975465E+01  
5  35   2.9929057E+01   2.9929057E+01  
5  36   1.5635562E+02   1.5635562E+02  
5  37   1.5635562E+02   1.5635562E+02  
5  38   1.5635562E+02   1.5635562E+02  
5  39   1.5635562E+02   1.5635562E+02  
5  40   1.2824426E+01   1.2824426E+01  
6  1   1.5635562E+02   1.5635562E+02  
6  2   1.5635562E+02   1.5635562E+02  
6  3   1.5635562E+02   1.5635562E+02  
6  4   1.5635562E+02   1.5635562E+02  
6  5   1.7753983E+01   1.7753983E+01  
6  6   7.7980643E+00   7.7980643E+00  
6  7   2.4033110E+01   2.4033110E+01  
6  8   1.5635562E+02   1.5635562E+02  
6  9   3.2766509E+01   3.2766509E+01  
6  10   1.5635562E+02   1.5635562E+02  
6  11   1.5635562E+02   1.5635562E+02  
6  12   1.5635562E+02   1.5635562E+02  
6  13   2.4675041E+01   2.4675041E+01  
6  14   5.4820601E+00   5.4820601E+00  
6  15   3.8757698E+01   3.8757698E+01  
6  16   1.5635562E+02   1.5635562E+02  
6  17   6.0681057E+00   6.0681057E+00  
6  18   1.0604803E+01   1.0604803E+01  
6  19   1.3203807E+02   1.3203807E+02  
6  20   1.5635562E+02   1.5635562E+02  
6  21   4.6432147E+01   4.6432147E+01  
6  22   1.5635562E+02   1.5635562E+02  
6  23   1.5635562E+02   1.5635562E+02  
6  24   1.5635562E+02   1.5635562E+02  
6  25   6.2872814E+01   6.2872814E+01  
6  26   1.5635562E+02   1.5635562E+02  
6  27   1.5635562E+02   1.5635562E+02  
6  28   1.5635562E+02   1.5635562E+02  
6  29   1.1143276E+01   1.1143276E+01  
6  30   2.6047391E+01   2.6047391E+01  
6  31   6.0957776E+01   6.0957776E+01  
6  32   2.0372703E+01   2.0372703E+01  
6  33   7.5468538E+01   7.5468538E+01  
6  34   1.5635562E+02   1.5635562E+02  
6  35   8.9605968E+01   8.9605968E+01  
6  36   1.5635562E+02   1.5635562E+02  
6  37   1.5635562E+02   1.5635562E+02  
6  38   1.5635562E+02   1.5635562E+02  
6  39   3.4276340E+00   3.4276340E+00  
6  40   8.6749300E+00   8.6749300E+00  
7  1   1.5635562E+02   1.5635562E+02  
7  2   1.5635562E+02   1.5635562E+02  
7  3   1.5635562E+02   1.5635562E+02  
7  4   3.7726539E+01   3.7726539E+01  
7  5   3.3241075E+01   3.3241075E+01  
7  6   6.4957264E+00   6.4957264E+00  
7  7   1.5635562E+02   1.5635562E+02  
7  8   1.5635562E+02   1.5635562E+02  
7  9   1.5843706E+01   1.5843706E+01  
7  10   1.5635562E+02   1.5635562E+02  
7  11   1.5635562E+02   1.5635562E+02  
7  12   1.5635562E+02   1.5635562E+02  
7  13   1.0416788E+01   1.0416788E+01  
7  14   3.1356288E+01   3.1356288E+01  
7  15   1.5233578E+01   1.5233578E+01  
7  16   1.5635562E+02   1.5635562E+02  
7  17   6.2162700E+00   6.2162700E+00  
7  18   1.0131864E+01   1.0131864E+01  
7  19   8.0681517E+01   8.0681517E+01  
7  20   1.5635562E+02   1.5635562E+02  
7  21   4.6772226E+00   4.6772226E+00  
7  22   4.2982580E+01   4.2982580E+01  
7  23   1.5635562E+02   1.5635562E+02  
7  24   1.3973076E+01   1.3973076E+01  
7  25   3.7341655E+01   3.7341655E+01  
7  26   1.3968098E+01   1.3968098E+01  
7  27   3.7461585E+01   3.7461585E+01  
7  28   1.5635562E+02   1.5635562E+02  
7  29   3.5729287E+01   3.5729287E+01  
7  30   1.3841641E+01   1.3841641E+01  
7  31   1.5635562E+02   1.5635562E+02  
7  32   1.6730295E+02   1.6730295E+02  
7  33   6.8942771E+01   6.8942771E+01  
7  34   4.9850599E+01   4.9850599E+01  
7  35   1.3979222E+02   1.3979222E+02  
7  36   1.5635562E+02   1.5635562E+02  
7  37   3.5032837E+02   3.5032837E+02  
7  38   7.2241452E+00   7.2241452E+00  
7  39   9.1469176E+00   9.1469176E+00  
7  40   8.1598244E+00   8.1598244E+00  
8  1   1.5635562E+02   1.5635562E+02  
8  2   1.5635562E+02   1.5635562E+02  
8  3   1.5635562E+02   1.5635562E+02  
8  4   2.5220427E+01   2.5220427E+01  
8  5   1.5370529E+01   1.5370529E+01  
8  6   6.8725636E+00   6.8725636E+00  
8  7   1.5635562E+02   1.5635562E+02  
8  8   5.7804680E+02   5.7804680E+02  
8  9   1.8302597E+01   1.8302597E+01  
8  10   1.5635562E+02   1.5635562E+02  
8  11   3.8154584E+01   3.8154584E+01  
8  12   2.3762401E+01   2.3762401E+01  
8  13   3.3172374E+00   3.3172374E+00  
8  14   4.6253891E+01   4.6253891E+01  
8  15   4.0819628E+01   4.0819628E+01  
8  16   2.8699024E+01   2.8699024E+01  
8  17   6.8875652E+00   6.8875652E+00  
8  18   1.0387098E+01   1.0387098E+01  
8  19   1.5635562E+02   1.5635562E+02  
8  20   1.5635562E+02   1.5635562E+02  
8  21   1.5635562E+02   1.5635562E+02  
8  22   1.7631552E+02   1.7631552E+02  
8  23   1.5635562E+02   1.5635562E+02  
8  24   4.7664612E+01   4.7664612E+01  
8  25   3.7304598E+01   3.7304598E+01  
8  26   3.4974826E+01   3.4974826E+01  
8  27   3.7326182E+00   3.7326182E+00  
8  28   1.5635562E+02   1.5635562E+02  
8  29   3.3288174E+01   3.3288174E+01  
8  30   1.5635562E+02   1.5635562E+02  
8  31   1.5635562E+02   1.5635562E+02  
8  32   3.1289040E+01   3.1289040E+01  
8  33   3.8959413E+01   3.8959413E+01  
8  34   1.5635562E+02   1.5635562E+02  
8  35   2.7424267E+01   2.7424267E+01  
8  36   1.1728655E+01   1.1728655E+01  
8  37   4.1259908E+01   4.1259908E+01  
8  38   3.2242765E+00   3.2242765E+00  
8  39   1.5160157E+01   1.5160157E+01  
8  40   1.5635562E+02   1.5635562E+02  
9  1   1.5635562E+02   1.5635562E+02  
9  2   1.0540023E+01   1.0540023E+01  
9  3   4.9761433E+00   4.9761433E+00  
9  4   6.2004102E+00   6.2004102E+00  
9  5   5.8216153E+00   5.8216153E+00  
9  6   5.1696871E+00   5.1696871E+00  
9  7   2.7245900E+01   2.7245900E+01  
9  8   1.5635562E+02   1.5635562E+02  
9  9   9.4713573E+00   9.4713573E+00  
9  10   1.5635562E+02   1.5635562E+02  
9  11   1.4880751E+01   1.4880751E+01  
9  12   1.5635562E+02   1.5635562E+02  
9  13   1.5635562E+02   1.5635562E+02  
9  14   2.6213564E+01   2.6213564E+01  
9  15   2.5841215E+01   2.5841215E+01  
9  16   1.5734111E+01   1.5734111E+01  
9  17   1.7843925E+01   1.7843925E+01  
9  18   4.2367186E+00   4.2367186E+00  
9  19   1.5635562E+02   1.5635562E+02  
9  20   1.5635562E+02   1.5635562E+02  
9  21   1.5635562E+02   1.5635562E+02  
9  22   3.4438652E+02   3.4438652E+02  
9  23   7.0654900E+01   7.0654900E+01  
9  24   1.5635562E+02   1.5635562E+02  
9  25   1.5635562E+02   1.5635562E+02  
9  26   5.5852008E+01   5.5852008E+01  
9  27   1.5635562E+02   1.5635562E+02  
9  28   1.5635562E+02   1.5635562E+02  
9  29   3.8767732E+01   3.8767732E+01  
9  30   1.5635562E+02   1.5635562E+02  
9  31   1.5635562E+02   1.5635562E+02  
9  32   1.5635562E+02   1.5635562E+02  
9  33   2.9251766E+01   2.9251766E+01  
9  34   6.2536322E+01   6.2536322E+01  
9  35   4.6521453E+01   4.6521453E+01  
9  36   3.4564939E+00   3.4564939E+00  
9  37   1.0075903E+02   1.0075903E+02  
9  38   4.1268333E+00   4.1268333E+00  
9  39   2.5347077E+01   2.5347077E+01  
9  40   1.5635562E+02   1.5635562E+02  
10  1   1.5635562E+02   1.5635562E+02  
10  2   3.9034647E+01   3.9034647E+01  
10  3   2.6496924E+00   2.6496924E+00  
10  4   4.3838000E+00   4.3838000E+00  
10  5   3.4554178E+00   3.4554178E+00  
10  6   4.4326354E+00   4.4326354E+00  
10  7   2.0211735E+01   2.0211735E+01  
10  8   1.5635562E+02   1.5635562E+02  
10  9   1.5635562E+02   1.5635562E+02  
10  10   1.5635562E+02   1.5635562E+02  
10  11   1.5941049E+01   1.5941049E+01  
10  12   1.5635562E+02   1.5635562E+02  
10  13   1.5635562E+02   1.5635562E+02  
10  14   6.3624918E+00   6.3624918E+00  
10  15   1.1409027E+01   1.1409027E+01  
10  16   1.4631960E+01   1.4631960E+01  
10  17   1.4414497E+01   1.4414497E+01  
10  18   1.7263096E+01   1.7263096E+01  
10  19   1.5635562E+02   1.5635562E+02  
10  20   1.5324060E+01   1.5324060E+01  
10  21   8.4300117E+00   8.4300117E+00  
10  22   7.2583854E+00   7.2583854E+00  
10  23   1.5635562E+02   1.5635562E+02  
10  24   2.5955643E+01   2.5955643E+01  
10  25   1.5635562E+02   1.5635562E+02  
10  26   7.7154508E+01   7.7154508E+01  
10  27   1.5635562E+02   1.5635562E+02  
10  28   1.5635562E+02   1.5635562E+02  
10  29   2.3991451E+01   2.3991451E+01  
10  30   1.5635562E+02   1.5635562E+02  
10  31   1.5635562E+02   1.5635562E+02  
10  32   2.0472082E+01   2.0472082E+01  
10  33   5.9751699E+00   5.9751699E+00  
10  34   1.5635562E+02   1.5635562E+02  
10  35   6.1485771E+00   6.1485771E+00  
10  36   4.3770743E+00   4.3770743E+00  
10  37   3.5373478E+01   3.5373478E+01  
10  38   8.7090955E+00   8.7090955E+00  
10  39   2.7418964E+01   2.7418964E+01  
10  40   1.5635562E+02   1.5635562E+02  
11  1   7.7582320E+00   7.7582320E+00  
11  2   1.5635562E+02   1.5635562E+02  
11  3   3.2731428E+00   3.2731428E+00  
11  4   3.7513515E+00   3.7513515E+00  
11  5   9.7887952E+00   9.7887952E+00  
11  6   4.4259568E+00   4.4259568E+00  
11  7   4.6514912E+00   4.6514912E+00  
11  8   1.2811745E+01   1.2811745E+01  
11  9   1.5635562E+02   1.5635562E+02  
11  10   1.5635562E+02   1.5635562E+02  
11  11   6.9794869E+00   6.9794869E+00  
11  12   9.8786197E+02   9.8786197E+02  
11  13   1.5635562E+02   1.5635562E+02  
11  14   8.1878806E+00   8.1878806E+00  
11  15   3.8999795E+00   3.8999795E+00  
11  16   3.9423978E+01   3.9423978E+01  
11  17   2.6102924E+01   2.6102924E+01  
11  18   2.4500622E+01   2.4500622E+01  
11  19   1.5635562E+02   1.5635562E+02  
11  20   3.5060845E+00   3.5060845E+00  
11  21   1.7034696E+01   1.7034696E+01  
11  22   3.4453967E+00   3.4453967E+00  
11  23   1.7007157E+01   1.7007157E+01  
11  24   2.1462822E+01   2.1462822E+01  
11  25   1.5635562E+02   1.5635562E+02  
11  26   5.2030969E+01   5.2030969E+01  
11  27   1.5635562E+02   1.5635562E+02  
11  28   4.2838845E+01   4.2838845E+01  
11  29   6.6649105E+00   6.6649105E+00  
11  30   1.4985843E+01   1.4985843E+01  
11  31   1.5635562E+02   1.5635562E+02  
11  32   2.8536162E+02   2.8536162E+02  
11  33   1.5635562E+02   1.5635562E+02  
11  34   2.8417854E+02   2.8417854E+02  
11  35   1.5635562E+02   1.5635562E+02  
11  36   4.3252849E+00   4.3252849E+00  
11  37   1.4781631E+01   1.4781631E+01  
11  38   9.2271069E+00   9.2271069E+00  
11  39   9.8496391E+00   9.8496391E+00  
11  40   1.1235892E+01   1.1235892E+01  
12  1   2.7515799E+01   2.7515799E+01  
12  2   1.5635562E+02   1.5635562E+02  
12  3   1.1886017E+01   1.1886017E+01  
12  4   1.1728655E+01   1.1728655E+01  
12  5   1.0181969E+01   1.0181969E+01  
12  6   4.5258164E+00   4.5258164E+00  
12  7   1.5635562E+02   1.5635562E+02  
12  8   1.3088641E+01   1.3088641E+01  
12  9   8.9445466E+00   8.9445466E+00  
12  10   2.4288827E+01   2.4288827E+01  
12  11   5.4550715E+00   5.4550715E+00  
12  12   2.3720470E+01   2.3720470E+01  
12  13   8.7920123E+01   8.7920123E+01  
12  14   1.5635562E+02   1.5635562E+02  
12  15   3.7330161E+00   3.7330161E+00  
12  16   2.7905845E+01   2.7905845E+01  
12  17   3.7252525E+00   3.7252525E+00  
12  18   1.7731602E+01   1.7731602E+01  
12  19   1.9783830E+01   1.9783830E+01  
12  20   1.2152026E+01   1.2152026E+01  
12  21   2.1917112E+01   2.1917112E+01  
12  22   3.9275447E+00   3.9275447E+00  
12  23   5.5059318E+00   5.5059318E+00  
12  24   8.8350536E+00   8.8350536E+00  
12  25   1.5635562E+02   1.5635562E+02  
12  26   1.5635562E+02   1.5635562E+02  
12  27   1.5635562E+02   1.5635562E+02  
12  28   5.8241530E+00   5.8241530E+00  
12  29   4.9793097E+00   4.9793097E+00  
12  30   3.8090876E+01   3.8090876E+01  
12  31   1.5635562E+02   1.5635562E+02  
12  32   1.2502779E+01   1.2502779E+01  
12  33   1.5635562E+02   1.5635562E+02  
12  34   9.1090166E+00   9.1090166E+00  
12  35   1.5635562E+02   1.5635562E+02  
12  36   3.2828521E+00   3.2828521E+00  
12  37   1.5554132E+01   1.5554132E+01  
12  38   8.0155316E+00   8.0155316E+00  
12  39   4.7515211E+00   4.7515211E+00  
12  40   1.4177789E+01   1.4177789E+01  
13  1   2.5422367E+01   2.5422367E+01  
13  2   1.5635562E+02   1.5635562E+02  
13  3   3.3456144E+00   3.3456144E+00  
13  4   1.5635562E+02   1.5635562E+02  
13  5   7.8101024E+00   7.8101024E+00  
13  6   4.5258164E+00   4.5258164E+00  
13  7   1.5635562E+02   1.5635562E+02  
13  8   3.2847296E+00   3.2847296E+00  
13  9   2.9580022E+01   2.9580022E+01  
13  10   7.2008213E+00   7.2008213E+00  
13  11   8.1570502E+00   8.1570502E+00  
13  12   1.9216304E+01   1.9216304E+01  
13  13   1.5122595E+01   1.5122595E+01  
13  14   4.9405928E+00   4.9405928E+00  
13  15   4.5604248E+00   4.5604248E+00  
13  16   7.8921880E+00   7.8921880E+00  
13  17   1.5635562E+02   1.5635562E+02  
13  18   4.8454065E+00   4.8454065E+00  
13  19   1.2092886E+01   1.2092886E+01  
13  20   2.2439769E+01   2.2439769E+01  
13  21   1.5635562E+02   1.5635562E+02  
13  22   5.4146745E+00   5.4146745E+00  
13  23   3.9494412E+00   3.9494412E+00  
13  24   1.5635562E+02   1.5635562E+02  
13  25   8.1197724E+01   8.1197724E+01  
13  26   1.5635562E+02   1.5635562E+02  
13  27   3.5519600E+00   3.5519600E+00  
13  28   1.5635562E+02   1.5635562E+02  
13  29   4.8052586E+00   4.8052586E+00  
13  30   3.7443410E+01   3.7443410E+01  
13  31   7.1751797E+00   7.1751797E+00  
13  32   9.6483641E+00   9.6483641E+00  
13  33   1.5635562E+02   1.5635562E+02  
13  34   4.5937262E+01   4.5937262E+01  
13  35   1.5635562E+02   1.5635562E+02  
13  36   5.5690361E+00   5.5690361E+00  
13  37   2.3345200E+01   2.3345200E+01  
13  38   9.8739039E+00   9.8739039E+00  
13  39   1.5635562E+02   1.5635562E+02  
13  40   1.6978378E+01   1.6978378E+01  
14  1   3.2405239E+01   3.2405239E+01  
14  2   1.5635562E+02   1.5635562E+02  
14  3   8.8533850E+00   8.8533850E+00  
14  4   1.5635562E+02   1.5635562E+02  
14  5   7.0868986E+00   7.0868986E+00  
14  6   3.8420719E+00   3.8420719E+00  
14  7   1.5635562E+02   1.5635562E+02  
14  8   3.4497823E+00   3.4497823E+00  
14  9   3.1108609E+01   3.1108609E+01  
14  10   6.7408092E+00   6.7408092E+00  
14  11   5.7677532E+00   5.7677532E+00  
14  12   1.6650459E+01   1.6650459E+01  
14  13   3.4525780E+00   3.4525780E+00  
14  14   3.1895926E+01   3.1895926E+01  
14  15   5.1017951E+00   5.1017951E+00  
14  16   1.0132184E+01   1.0132184E+01  
14  17   1.5635562E+02   1.5635562E+02  
14  18   1.5635562E+02   1.5635562E+02  
14  19   3.7682183E+00   3.7682183E+00  
14  20   1.9966826E+01   1.9966826E+01  
14  21   1.5635562E+02   1.5635562E+02  
14  22   3.6305450E+00   3.6305450E+00  
14  23   7.5339939E+00   7.5339939E+00  
14  24   1.5635562E+02   1.5635562E+02  
14  25   2.1429888E+01   2.1429888E+01  
14  26   5.4072451E+00   5.4072451E+00  
14  27   3.4489749E+01   3.4489749E+01  
14  28   1.5635562E+02   1.5635562E+02  
14  29   4.7611387E+00   4.7611387E+00  
14  30   1.5635562E+02   1.5635562E+02  
14  31   7.6714280E+01   7.6714280E+01  
14  32   1.2537902E+01   1.2537902E+01  
14  33   1.5635562E+02   1.5635562E+02  
14  34   1.5635562E+02   1.5635562E+02  
14  35   1.5635562E+02   1.5635562E+02  
14  36   8.7261989E+00   8.7261989E+00  
14  37   5.3785897E+00   5.3785897E+00  
14  38   7.1166579E+00   7.1166579E+00  
14  39   1.5635562E+02   1.5635562E+02  
14  40   7.4519293E+00   7.4519293E+00  
15  1   7.1166735E+01   7.1166735E+01  
15  2   6.0120400E+00   6.0120400E+00  
15  3   6.9187866E+00   6.9187866E+00  
15  4   1.5635562E+02   1.5635562E+02  
15  5   4.1881566E+00   4.1881566E+00  
15  6   6.4150896E+00   6.4150896E+00  
15  7   8.7918728E+01   8.7918728E+01  
15  8   3.3948472E+00   3.3948472E+00  
15  9   2.4077167E+01   2.4077167E+01  
15  10   4.5834945E+00   4.5834945E+00  
15  11   3.3105241E+00   3.3105241E+00  
15  12   6.8846723E+00   6.8846723E+00  
15  13   6.1970479E+00   6.1970479E+00  
15  14   1.4357226E+02   1.4357226E+02  
15  15   6.3684513E+00   6.3684513E+00  
15  16   1.5635562E+02   1.5635562E+02  
15  17   1.5635562E+02   1.5635562E+02  
15  18   1.5635562E+02   1.5635562E+02  
15  19   3.3707893E+00   3.3707893E+00  
15  20   1.8491922E+01   1.8491922E+01  
15  21   1.5635562E+02   1.5635562E+02  
15  22   6.8876810E+00   6.8876810E+00  
15  23   1.4666142E+01   1.4666142E+01  
15  24   1.5635562E+02   1.5635562E+02  
15  25   3.4963741E+01   3.4963741E+01  
15  26   6.0193677E+00   6.0193677E+00  
15  27   1.5635562E+02   1.5635562E+02  
15  28   1.5635562E+02   1.5635562E+02  
15  29   4.3856889E+00   4.3856889E+00  
15  30   3.9871723E+01   3.9871723E+01  
15  31   1.5635562E+02   1.5635562E+02  
15  32   1.9751420E+01   1.9751420E+01  
15  33   1.5635562E+02   1.5635562E+02  
15  34   1.6933395E+01   1.6933395E+01  
15  35   1.4288244E+01   1.4288244E+01  
15  36   3.6794666E+00   3.6794666E+00  
15  37   1.5635562E+02   1.5635562E+02  
15  38   7.4225555E+00   7.4225555E+00  
15  39   1.5635562E+02   1.5635562E+02  
15  40   1.5635562E+02   1.5635562E+02  
16  1   2.0594373E+01   2.0594373E+01  
16  2   4.4910538E+01   4.4910538E+01  
16  3   3.9034235E+00   3.9034235E+00  
16  4   1.5635562E+02   1.5635562E+02  
16  5   7.5034745E+00   7.5034745E+00  
16  6   4.2133129E+00   4.2133129E+00  
16  7   8.7920123E+01   8.7920123E+01  
